"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Delhi","10","1","2015","2","0","4","1","SHARAD KUMAR","M","AAAP","96143","GEN","160316","241032","NERELA","GEN","NORTH WEST DELHI","8","66.51","59.97","no","40292","25.13","2.08","AEDL101587","State-based Party","13","TRUE","2","BSP","16651","NERELA","TRUE","FALSE","1","TRUE","FALSE","FALSE","40","NORTH WEST DELHI","","","","","","","",""
"AE","Delhi","10","1","2015","2","0","4","2","NEEL DAMAN KHATRI","M","BJP","55851","GEN","160316","241032","NERELA","GEN","NORTH WEST DELHI","8","66.51","34.84","no","51208","31.94","2.08","AEDL100776","National Party","1605","TRUE","2","BJP","1605","NERELA","TRUE","TRUE","1","FALSE","TRUE","TRUE","44","NORTH WEST DELHI","","","","10th Pass","Business","","",""
"AE","Delhi","10","1","2015","2","0","4","3","PRAVEEN KUMAR BHUGRA","M","INC","4643","GEN","160316","241032","NERELA","GEN","NORTH WEST DELHI","8","66.51","2.9","yes","2981","1.86","2.08","AEDL100099","National Party","3482","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","46","NORTH WEST DELHI","","","","8th Pass","Business","","Social Work",""
"AE","Delhi","10","1","2015","2","0","4","4","ROOPESH BHARDWAJ","M","BSP","1662","GEN","160316","241032","NERELA","GEN","NORTH WEST DELHI","8","66.51","1.04","yes","895","0.56","2.08","AEDL100100","State-based Party (Other State)","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","40","NORTH WEST DELHI","","","","10th Pass","Business","Trader","Liberal Profession or Professional","Consultant"
"AE","Delhi","10","1","2015","2","0","4","5","None of the Above","","NOTA","767","","160316","241032","NERELA","GEN","NORTH WEST DELHI","8","66.51","0.48","yes","289","0.18","2.08","","NOTA","5897","TRUE","","","5897","","","","","","FALSE","FALSE","","NORTH WEST DELHI","","","","","","","",""
"AE","Delhi","10","1","2015","2","0","4","6","BRIJ MOHAN","M","SHS","478","GEN","160316","241032","NERELA","GEN","NORTH WEST DELHI","8","66.51","0.3","yes","115","0.07","2.08","AEDL100101","State-based Party (Other State)","18691","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","37","NORTH WEST DELHI","","","","8th Pass","Small Business or Self-employed","Self-employed","",""
"AE","Delhi","10","1","2015","2","0","4","7","SURENDER","M","CPI(ML)(L)","363","GEN","160316","241032","NERELA","GEN","NORTH WEST DELHI","8","66.51","0.23","yes","145","0.09","2.08","AEDL100102","Local Party","2472","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","48","NORTH WEST DELHI","","","","","","","",""
"AE","Delhi","10","1","2015","2","0","4","8","MANOJ KUMAR","M","IND","218","GEN","160316","241032","NERELA","GEN","NORTH WEST DELHI","8","66.51","0.14","yes","27","0.02","2.08","AEDL100103","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","42","NORTH WEST DELHI","","","","12th Pass","Salaried Work or Employed","","",""
"AE","Delhi","10","1","2015","2","0","4","9","AJAY MUDGIL","M","IND","191","GEN","160316","241032","NERELA","GEN","NORTH WEST DELHI","8","66.51","0.12","yes","0","0","2.08","AEDL100782","Independents","10809","TRUE","2","IND","10809","NERELA","TRUE","TRUE","0","FALSE","FALSE","TRUE","30","NORTH WEST DELHI","","","","Post Graduate","Business","","",""
"AE","Delhi","10","2","2015","2","0","4","1","SANJEEV JHA","M","AAAP","124724","GEN","195427","288420","BURARI","GEN","NORTH EAST DELHI","18","67.76","63.82","no","67950","34.77","2.04","AEDL100790","State-based Party","13","TRUE","2","AAAP","13","BURARI","TRUE","TRUE","2","FALSE","TRUE","TRUE","35","NORTH EAST DELHI","","","","","","","",""
